word,lemma,part_of_speech,tag
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
and,and,CCONJ,CC
animations,animation,NOUN,NNS
annual,annual,ADJ,JJ
anticipate,anticipate,VERB,VB
any,any,DET,DT
appreciate,appreciate,VERB,VB
appropriate,appropriate,ADJ,JJ
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
are,be,AUX,VBP
art,art,NOUN,NN
art,art,NOUN,NN
art,art,NOUN,NN
as,as,SCONJ,IN
as,as,ADP,IN
as,as,SCONJ,IN
as,as,ADP,IN
as,as,ADP,IN
as,as,ADP,IN
as,as,ADP,IN
as,as,SCONJ,IN
as,as,SCONJ,IN
as,as,ADP,IN
as,as,ADP,IN
aspect,aspect,NOUN,NN
aspects,aspect,NOUN,NNS
associated,associate,VERB,VBN
at,at,ADP,IN
at,at,ADP,IN
at,at,ADP,IN
atmosphere,atmosphere,NOUN,NN
atmosphere,atmosphere,NOUN,NN
atmosphere,atmosphere,NOUN,NN
atmosphere,atmosphere,NOUN,NN
atmosphere,atmosphere,NOUN,NN
attachment,attachment,NOUN,NN
attention,attention,NOUN,NN
attention,attention,NOUN,NN
audience,audience,NOUN,NN
audio,audio,NOUN,NN
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,NOUN,NN
audio,audio,ADJ,JJ
audio,audio,NOUN,NN
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,NOUN,NN
audio,audio,ADJ,JJ
audio,audio,NOUN,NN
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
audio,audio,ADJ,JJ
augmented,augment,VERB,VBD
augmented,augment,VERB,VBD
awards,award,NOUN,NNS
awards,award,NOUN,NNS
awe,awe,ADV,RB
back,back,ADV,RB
background,background,NOUN,NN
background,background,NOUN,NN
based,base,VERB,VBN
battle,battle,NOUN,NN
battle,battle,NOUN,NN
battle,battle,NOUN,NN
be,be,AUX,VB
be,be,AUX,VB
be,be,AUX,VB
be,be,AUX,VB
been,be,AUX,VBN
been,be,AUX,VBN
before,before,ADP,IN
behind,behind,ADP,IN
believability,believability,NOUN,NN
best,good,ADJ,JJS
between,between,ADP,IN
between,between,ADP,IN
between,between,ADP,IN
beyond,beyond,ADP,IN
beyond,beyond,ADP,IN
billion,billion,NUM,CD
bond,bond,NOUN,NN
bond,bond,NOUN,NN
boss,boss,NOUN,NN
boss,boss,NOUN,NN
boundaries,boundary,NOUN,NNS
boundaries,boundary,NOUN,NNS
boundaries,boundary,NOUN,NNS
bring,bring,VERB,VB
bring,bring,VERB,VB
build,build,VERB,VB
build,build,NOUN,NN
building,build,VERB,VBG
but,but,CCONJ,CC
but,but,CCONJ,CC
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
by,by,ADP,IN
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
can,can,AUX,MD
captivate,captivate,VERB,VBP
captivating,captivating,ADJ,JJ
capture,capture,VERB,VBP
capturing,capture,VERB,VBG
carefully,carefully,ADV,RB
carefully,carefully,ADV,RB
category,category,NOUN,NN
cavern,cavern,NOUN,NN
celebrating,celebrate,VERB,VBG
cementing,cement,VERB,VBG
certain,certain,ADJ,JJ
certain,certain,ADJ,JJ
challenges,challenge,NOUN,NNS
character,character,NOUN,NN
character,character,NOUN,NN
characters,character,NOUN,NNS
characters,character,NOUN,NNS
characters,character,NOUN,NNS
choose,choose,VERB,VB
choosing,choose,VERB,VBG
closely,closely,ADV,RB
closely,closely,ADV,RB
closer,close,ADJ,JJR
clues,clue,NOUN,NNS
cognitive,cognitive,ADJ,JJ
cognitive,cognitive,ADJ,JJ
cohesive,cohesive,ADJ,JJ
cohesive,cohesive,ADJ,JJ
coins,coin,NOUN,NNS
collaborate,collaborate,VERB,VB
collaborate,collaborate,VERB,VB
collaborations,collaboration,NOUN,NNS
comes,come,VERB,VBZ
coming,come,VERB,VBG
complements,complement,VERB,VBZ
complexity,complexity,NOUN,NN
component,component,NOUN,NN
compose,compose,VERB,VBP
composed,compose,VERB,VBN
composers,composer,NOUN,NNS
composers,composer,NOUN,NNS
composers,composer,NOUN,NNS
composers,composer,NOUN,NNS
concentration,concentration,NOUN,NN
conclusion,conclusion,NOUN,NN
conduct,conduct,VERB,VB
conducted,conduct,VERB,VBN
conducted,conduct,VERB,VBN
conducted,conduct,VERB,VBN
connect,connect,VERB,VB
connection,connection,NOUN,NN
connection,connection,NOUN,NN
connection,connection,NOUN,NN
connection,connection,NOUN,NN
connection,connection,NOUN,NN
connection,connection,NOUN,NN
consider,consider,VERB,VB
consider,consider,VERB,VB
consistent,consistent,ADJ,JJ
continue,continue,VERB,VB
continue,continue,VERB,VB
continue,continue,VERB,VBP
continues,continue,VERB,VBZ
continues,continue,VERB,VBZ
continuously,continuously,ADV,RB
contrast,contrast,NOUN,NN
contribute,contribute,VERB,VBP
contributes,contribute,VERB,VBZ
contributes,contribute,VERB,VBZ
contributes,contribute,VERB,VBZ
contributions,contribution,NOUN,NNS
create,create,NOUN,NN
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VBP
create,create,VERB,VB
create,create,VERB,VBP
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
create,create,VERB,VB
created,create,VERB,VBN
created,create,VERB,VBN
creates,create,VERB,VBZ
creates,create,VERB,VBZ
creates,create,VERB,VBZ
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creating,create,VERB,VBG
creation,creation,NOUN,NN
creative,creative,ADJ,JJ
creativity,creativity,NOUN,NN
critical,critical,ADJ,JJ
critical,critical,ADJ,JJ
crucial,crucial,ADJ,JJ
crucial,crucial,ADJ,JJ
crucial,crucial,ADJ,JJ
crucial,crucial,ADJ,JJ
crucial,crucial,ADJ,JJ
crucial,crucial,ADJ,JJ
cues,cue,NOUN,NNS
cues,cue,NOUN,NNS
cues,cue,NOUN,NNS
cues,cue,NOUN,NNS
cues,cue,NOUN,NNS
cues,cue,NOUN,NNS
cues,cue,NOUN,NNS
cutscene,cutscene,NOUN,NN
cutting,cutting,NOUN,NN
danger,danger,NOUN,NN
dangers,danger,NOUN,NNS
decisions,decision,NOUN,NNS
dedicated,dedicated,ADJ,JJ
dedicated,dedicate,VERB,VBN
deep,deep,ADJ,JJ
deepen,deepen,VERB,VB
deepen,deepen,VERB,VB
deepening,deepen,VERB,VBG
deeper,deeply,ADV,RBR
deeper,deep,ADJ,JJR
depth,depth,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
design,design,NOUN,NN
designed,design,VERB,VBN
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designers,designer,NOUN,NNS
designing,design,VERB,VBG
detailed,detailed,ADJ,JJ
developer,developer,NOUN,NN
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
developers,developer,NOUN,NNS
development,development,NOUN,NN
development,development,NOUN,NN
development,development,NOUN,NN
development,development,NOUN,NN
development,development,NOUN,NN
devices,device,NOUN,NNS
different,different,ADJ,JJ
different,different,ADJ,JJ
different,different,ADJ,JJ
different,different,ADJ,JJ
different,different,ADJ,JJ
dimensions,dimension,NOUN,NNS
distinct,distinct,ADJ,JJ
distinctive,distinctive,ADJ,JJ
dive,dive,VERB,VB
diversity,diversity,NOUN,NN
drives,drive,VERB,VBZ
during,during,ADP,IN
during,during,ADP,IN
during,during,ADP,IN
during,during,ADP,IN
dynamic,dynamic,ADJ,JJ
dynamic,dynamic,ADJ,JJ
dynamic,dynamic,ADJ,JJ
easy,easy,ADJ,JJ
echoes,echo,NOUN,NNS
edge,edge,NOUN,NN
edit,edit,VERB,VB
editing,editing,NOUN,NN
editing,editing,NOUN,NN
effective,effective,ADJ,JJ
effective,effective,ADJ,JJ
effectively,effectively,ADV,RB
effects,effect,NOUN,NNS
effects,effect,NOUN,NNS
effects,effect,NOUN,NNS
effects,effect,NOUN,NNS
effects,effect,NOUN,NNS
elements,element,NOUN,NNS
elements,element,NOUN,NNS
elements,element,NOUN,NNS
elements,element,NOUN,NNS
elements,element,NOUN,NNS
elements,element,NOUN,NNS
elements,element,NOUN,NNS
elements,element,NOUN,NNS
elevate,elevate,VERB,VB
elevate,elevate,VERB,VBP
elevate,elevate,VERB,VB
embark,embark,VERB,VBP
embracing,embrace,VERB,VBG
emotion,emotion,NOUN,NN
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotional,emotional,ADJ,JJ
emotionally,emotionally,ADV,RB
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
emotions,emotion,NOUN,NNS
enabling,enable,VERB,VBG
enabling,enable,VERB,VBG
encourages,encourage,VERB,VBZ
enemies,enemy,NOUN,NNS
energetic,energetic,ADJ,JJ
engage,engage,VERB,VB
engaged,engage,VERB,VBN
engagement,engagement,NOUN,NN
engagement,engagement,NOUN,NN
engagement,engagement,NOUN,NN
engagement,engagement,NOUN,NN
engagement,engagement,NOUN,NN
engagement,engagement,NOUN,NN
engagement,engagement,NOUN,NN
engagement,engagement,NOUN,NN
engaging,engaging,ADJ,JJ
engaging,engaging,ADJ,JJ
engaging,engaging,ADJ,JJ
engaging,engaging,ADJ,JJ
engaging,engaging,ADJ,JJ
enhance,enhance,VERB,VB
enhance,enhance,VERB,VB
enhance,enhance,VERB,VB
enhance,enhance,VERB,VBP
enhance,enhance,VERB,VB
enhance,enhance,VERB,VB
enhance,enhance,VERB,VBP
enhance,enhance,VERB,VBP
enhance,enhance,VERB,VBP
enhances,enhance,VERB,VBZ
enhances,enhance,VERB,VBZ
enhances,enhance,VERB,VBZ
enhances,enhance,VERB,VBZ
enhances,enhance,VERB,VBZ
enhances,enhance,VERB,VBZ
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enhancing,enhance,VERB,VBG
enjoy,enjoy,VERB,VB
enjoy,enjoy,VERB,VB
enjoyment,enjoyment,NOUN,NN
enjoyment,enjoyment,NOUN,NN
ensure,ensure,VERB,VB
ensure,ensure,VERB,VB
ensure,ensure,VERB,VB
ensure,ensure,VERB,VB
ensure,ensure,VERB,VB
ensuring,ensure,VERB,VBG
environment,environment,NOUN,NN
environment,environment,NOUN,NN
environment,environment,NOUN,NN
epic,epic,ADJ,JJ
epic,epic,ADJ,JJ
epic,epic,ADJ,JJ
equipment,equipment,NOUN,NN
essence,essence,NOUN,NN
essential,essential,ADJ,JJ
essential,essential,ADJ,JJ
even,even,ADV,RB
even,even,ADV,RB
even,even,ADV,RB
even,even,ADV,RB
event,event,NOUN,NN
events,event,NOUN,NNS
events,event,NOUN,NNS
events,event,NOUN,NNS
every,every,DET,DT
everyone,everyone,PRON,NN
evoke,evoke,VERB,VB
evoke,evoke,VERB,VB
evoke,evoke,VERB,VB
evoke,evoke,VERB,VB
evoked,evoke,VERB,VBN
evoking,evoke,VERB,VBG
evoking,evoke,VERB,VBG
evolve,evolve,VERB,VB
evolve,evolve,VERB,VB
evolved,evolve,VERB,VBN
evolving,evolve,VERB,VBG
example,example,NOUN,NN
example,example,NOUN,NN
excitement,excitement,NOUN,NN
exhilarated,exhilarate,VERB,VBN
expanded,expand,VERB,VBN
expect,expect,VERB,VB
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experience,experience,NOUN,NN
experienced,experienced,ADJ,JJ
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiences,experience,NOUN,NNS
experiment,experiment,NOUN,NN
experts,expert,NOUN,NNS
explore,explore,VERB,VB
exploring,explore,VERB,VBG
extra,extra,ADJ,JJ
fact,fact,NOUN,NN
factor,factor,NOUN,NN
falling,fall,VERB,VBG
fans,fan,NOUN,NNS
favorite,favorite,ADJ,JJ
fear,fear,NOUN,NN
feedback,feedback,NOUN,NN
feedback,feedback,NOUN,NN
feel,feel,VERB,VB
feel,feel,VERB,VB
feel,feel,VERB,VB
feel,feel,VERB,VB
feet,foot,NOUN,NNS
fidelity,fidelity,NOUN,NN
field,field,NOUN,NN
fight,fight,NOUN,NN
final,final,ADJ,JJ
finish,finish,VERB,VBP
focus,focus,VERB,VB
focus,focus,NOUN,NN
focusing,focus,VERB,VBG
footsteps,footstep,NOUN,NNS
footsteps,footstep,NOUN,NNS
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,SCONJ,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
for,for,ADP,IN
forest,forest,NOUN,NN
form,form,NOUN,NN
form,form,NOUN,NN
forward,forward,ADV,RB
found,find,VERB,VBD
found,find,VERB,VBD
from,from,ADP,IN
from,from,ADP,IN
from,from,ADP,IN
