lemma,part_of_speech,absolute_frequency
recording,NOUN,2
recur,VERB,1
refer,VERB,1
refine,VERB,1
regularly,ADV,1
reinforce,VERB,3
rely,VERB,2
remember,VERB,2
renowned,ADJ,1
report,NOUN,1
research,NOUN,1
researcher,NOUN,1
respond,VERB,4
response,NOUN,1
responsibility,NOUN,1
responsible,ADJ,1
result,NOUN,1
revolutionize,VERB,1
reward,NOUN,2
right,ADJ,5
role,NOUN,10
rustle,VERB,1
sadness,NOUN,1
satisfaction,NOUN,1
scenario,NOUN,1
scene,NOUN,1
score,NOUN,2
seamless,ADJ,1
seamlessly,ADV,2
secret,NOUN,1
see,VERB,1
sense,NOUN,7
sequence,NOUN,2
serene,ADJ,1
serve,VERB,2
session,NOUN,1
set,VERB,11
shape,NOUN,1
should,AUX,1
show,VERB,3
signal,VERB,1
significance,NOUN,3
significantly,ADV,3
similar,ADJ,1
since,SCONJ,1
so,ADV,2
solely,ADV,1
solving,NOUN,1
some,DET,5
sonic,ADJ,1
sound,ADJ,32
sound,NOUN,28
sound,VERB,4
soundscape,NOUN,5
soundtrack,NOUN,23
source,NOUN,1
specific,ADJ,3
specifically,ADV,1
spotlight,NOUN,1
state,VERB,1
statistic,NOUN,2
stay,VERB,1
steal,VERB,1
stimulation,NOUN,2
stir,VERB,1
story,NOUN,2
storytelle,VERB,1
storytelling,NOUN,4
strategically,ADV,1
stream,VERB,1
strive,VERB,1
study,NOUN,5
stunning,ADJ,2
subtitle,NOUN,1
such,ADJ,2
survey,NOUN,1
suspense,NOUN,1
suspenseful,ADJ,2
sweep,VERB,1
sweeping,ADJ,1
symphony,NOUN,2
synchronization,NOUN,1
system,NOUN,3
tailor,VERB,1
take,VERB,3
takeaway,NOUN,6
talented,ADJ,1
task,NOUN,1
team,NOUN,1
technology,NOUN,7
tell,VERB,1
tempo,NOUN,1
tense,ADJ,1
terrain,NOUN,1
test,NOUN,1
that,DET,2
that,PRON,22
that,SCONJ,7
the,DET,164
their,PRON,8
theme,NOUN,1
themselves,PRON,1
these,DET,3
they,PRON,9
this,DET,1
those,DET,2
those,PRON,2
through,ADP,8
throughout,ADP,1
time,NOUN,5
time,VERB,1
tip,NOUN,2
to,ADP,33
to,PART,46
together,ADV,1
tone,NOUN,3
tool,NOUN,2
transcend,VERB,1
transport,VERB,2
trend,NOUN,1
trigger,VERB,1
triumphant,ADJ,1
true,ADJ,1
truly,ADV,2
tune,NOUN,1
uncover,VERB,1
underestimate,VERB,2
understand,VERB,3
undoubtedly,ADV,1
unforgettable,ADJ,4
unique,ADJ,2
universe,NOUN,1
unleash,VERB,1
unlock,VERB,1
unnoticed,ADJ,2
unparalleled,ADJ,1
unprecedented,ADJ,1
up,NOUN,1
upbeat,ADJ,1
use,VERB,1
usually,ADV,1
utilize,VERB,1
valuable,ADJ,1
various,ADJ,3
vast,ADJ,2
very,ADV,1
video,NOUN,22
virtual,ADJ,10
vision,NOUN,1
visual,ADJ,4
visual,NOUN,3
vital,ADJ,2
voice,NOUN,2
want,VERB,1
way,NOUN,2
we,PRON,7
weapon,NOUN,1
well,ADV,2
when,SCONJ,2
where,SCONJ,1
whether,SCONJ,5
which,PRON,1
while,SCONJ,1
who,PRON,2
why,SCONJ,3
will,AUX,9
win,VERB,1
with,ADP,31
with,SCONJ,31
work,NOUN,1
work,VERB,3
world,NOUN,11
worldwide,ADV,1
year,NOUN,3
you,PRON,6
your,PRON,5
